Query|Pne route|Found route|Time|Time for PNE|Heap fetches
145065 [0, 0, 0, 0, 0] 5 [1, 4]|PNE route: [POIs: (1946, 145433, restaurant, 0.3017048129523568), (1946, 145433, restaurant, 0.0), (1946, 145433, restaurant, 0.0), (1946, 145433, restaurant, 0.0), (1946, 145433, restaurant, 0.0), Length: 0.3017048129523568, Heuristic: 0.0]|Found route 2: [POIs: (1946, 145433, restaurant, 0.3017048129523568), (1946, 145433, restaurant, 0.0), (1946, 145433, restaurant, 0.0), (1946, 145433, restaurant, 0.0), (1946, 145433, restaurant, 0.0), Length: 0.3017048129523568, Heuristic: 0.0]|Time: 225 ms|Time for PNE: 2 ms|Heap fetches: 0
239908 [0, 0, 0, 1, 0] 5 [1, 4]|PNE route: [POIs: (829, 241564, restaurant, 1.1864310767628787), (829, 241564, restaurant, 0.0), (829, 241564, restaurant, 0.0), (829, 241564, coffee_shop, 0.0), (829, 241564, restaurant, 0.0), Length: 1.1864310767628787, Heuristic: 0.0]|Found route 2: [POIs: (829, 241564, restaurant, 1.1864310767628787), (829, 241564, restaurant, 0.0), (829, 241564, restaurant, 0.0), (829, 241564, coffee_shop, 0.0), (829, 241564, restaurant, 0.0), Length: 1.1864310767628787, Heuristic: 0.0]|Time: 1730 ms|Time for PNE: 1 ms|Heap fetches: 0
334097 [0, 0, 0, 2, 0] 5 [1, 4]|PNE route: [POIs: (1834, 334362, restaurant, 0.6586966042487299), (1834, 334362, restaurant, 0.0), (1834, 334362, restaurant, 0.0), (2482, 345094, atm_bank, 0.09086278662249024), (1834, 334362, restaurant, 0.09086278662249023), Length: 0.8404221774937104, Heuristic: 0.0]|Found route 2: [POIs: (1834, 334362, restaurant, 0.6586966042487299), (1834, 334362, restaurant, 0.0), (1834, 334362, restaurant, 0.0), (2482, 345094, atm_bank, 0.09086278662249024), (1834, 334362, restaurant, 0.09086278662249023), Length: 0.8404221774937104, Heuristic: 0.0]|Time: 135 ms|Time for PNE: 1 ms|Heap fetches: 0
152178 [0, 0, 0, 3, 0] 5 [1, 4]|PNE route: [POIs: (1790, 150679, restaurant, 0.8576449576919316), (1790, 150679, restaurant, 0.0), (1790, 150679, restaurant, 0.0), (2808, 150853, movie_theater, 0.21670547906194276), (1790, 150679, restaurant, 0.21670547906194276), Length: 1.291055915815817, Heuristic: 0.0]|Found route 2: [POIs: (1790, 150679, restaurant, 0.8576449576919316), (1790, 150679, restaurant, 0.0), (1790, 150679, restaurant, 0.0), (2808, 150853, movie_theater, 0.21670547906194276), (1790, 150679, restaurant, 0.21670547906194276), Length: 1.291055915815817, Heuristic: 0.0]|Time: 2385 ms|Time for PNE: 172 ms|Heap fetches: 0
22941 [0, 0, 0, 4, 0] 5 [1, 4]|PNE route: [POIs: (1141, 25632, restaurant, 1.9696871707872885), (1141, 25632, restaurant, 0.0), (1141, 25632, restaurant, 0.0), (2914, 25662, pharmacy, 0.08504971045370792), (1141, 25632, restaurant, 0.08504971045370792), Length: 2.1397865916947043, Heuristic: 0.0]|Found route 2: [POIs: (1141, 25632, restaurant, 1.9696871707872885), (1141, 25632, restaurant, 0.0), (1141, 25632, restaurant, 0.0), (2914, 25662, pharmacy, 0.08504971045370792), (1141, 25632, restaurant, 0.08504971045370792), Length: 2.1397865916947043, Heuristic: 0.0]|Time: 259 ms|Time for PNE: 2 ms|Heap fetches: 0
319502 [0, 0, 0, 5, 0] 5 [1, 4]|PNE route: [POIs: (479, 322429, restaurant, 0.5191505223334073), (479, 322429, restaurant, 0.0), (479, 322429, restaurant, 0.0), (3875, 322361, pub_bar, 0.10167856691522505), (479, 322429, restaurant, 0.10167856691522503), Length: 0.7225076561638574, Heuristic: 0.0]|Found route 2: [POIs: (479, 322429, restaurant, 0.5191505223334073), (479, 322429, restaurant, 0.0), (479, 322429, restaurant, 0.0), (3875, 322361, pub_bar, 0.10167856691522505), (479, 322429, restaurant, 0.10167856691522503), Length: 0.7225076561638574, Heuristic: 0.0]|Time: 144 ms|Time for PNE: 1 ms|Heap fetches: 0
395263 [0, 0, 0, 6, 0] 5 [1, 4]|PNE route: [POIs: (224, 393745, restaurant, 1.4988819222589642), (224, 393745, restaurant, 0.0), (224, 393745, restaurant, 0.0), (4508, 393748, gas_station, 0.1112831838592316), (224, 393745, restaurant, 0.1112831838592316), Length: 1.7214482899774275, Heuristic: 0.0]|Found route 2: [POIs: (224, 393745, restaurant, 1.4988819222589642), (224, 393745, restaurant, 0.0), (224, 393745, restaurant, 0.0), (4508, 393748, gas_station, 0.1112831838592316), (224, 393745, restaurant, 0.1112831838592316), Length: 1.7214482899774275, Heuristic: 0.0]|Time: 174 ms|Time for PNE: 1 ms|Heap fetches: 0
353183 [0, 0, 1, 0, 0] 5 [1, 4]|PNE route: [POIs: (795, 311355, restaurant, 2.1356143348542265), (795, 311355, restaurant, 0.0), (795, 311355, coffee_shop, 0.0), (795, 311355, restaurant, 0.0), (795, 311355, restaurant, 0.0), Length: 2.1356143348542265, Heuristic: 0.0]|Found route 2: [POIs: (795, 311355, restaurant, 2.1356143348542265), (795, 311355, restaurant, 0.0), (795, 311355, coffee_shop, 0.0), (795, 311355, restaurant, 0.0), (795, 311355, restaurant, 0.0), Length: 2.1356143348542265, Heuristic: 0.0]|Time: 203 ms|Time for PNE: 1 ms|Heap fetches: 0
279804 [0, 0, 1, 1, 0] 5 [1, 4]|PNE route: [POIs: (1386, 283779, restaurant, 2.9741780487837213), (1386, 283779, restaurant, 0.0), (1386, 283779, coffee_shop, 0.0), (1386, 283779, coffee_shop, 0.0), (1386, 283779, restaurant, 0.0), Length: 2.9741780487837213, Heuristic: 0.0]|Found route 2: [POIs: (1386, 283779, restaurant, 2.9741780487837213), (1386, 283779, restaurant, 0.0), (1386, 283779, coffee_shop, 0.0), (1386, 283779, coffee_shop, 0.0), (1386, 283779, restaurant, 0.0), Length: 2.9741780487837213, Heuristic: 0.0]|Time: 188 ms|Time for PNE: 1 ms|Heap fetches: 0
62999 [0, 0, 1, 2, 0] 5 [1, 4]|PNE route: [POIs: (1594, 61694, restaurant, 3.5996826476039296), (1594, 61694, restaurant, 0.0), (817, 61715, coffee_shop, 0.14929237438721174), (2461, 61688, atm_bank, 0.10362195203610347), (817, 61715, restaurant, 0.10362195203610347), Length: 3.9562189260633485, Heuristic: 0.0]|Found route 2: [POIs: (817, 61715, restaurant, 3.7489750219911415), (817, 61715, restaurant, 0.0), (817, 61715, coffee_shop, 0.0), (2461, 61688, atm_bank, 0.10362195203610347), (817, 61715, restaurant, 0.10362195203610347), Length: 3.9562189260633485, Heuristic: 0.0]|Time: 3245 ms|Time for PNE: 0 ms|Heap fetches: 17
350237 [0, 0, 1, 3, 0] 5 [1, 4]|PNE route: [POIs: (1173, 345916, restaurant, 1.7220033845525173), (813, 344691, restaurant, 1.8768922623459394), (812, 344668, coffee_shop, 0.06976831526018938), (2702, 337770, movie_theater, 1.1346511176069587), (2003, 337786, restaurant, 0.18699020912232645), Length: 4.990305288887932, Heuristic: 0.0]|Found route 2: [POIs: (1173, 345916, restaurant, 1.7220033845525173), (83, 326242, restaurant, 3.7875879379782806), (83, 326242, coffee_shop, 0.0), (2724, 326252, movie_theater, 0.05130516234233557), (83, 326242, restaurant, 0.05130516234233557), Length: 5.612201647215469, Heuristic: 0.0]|Time: 246318 ms|Time for PNE: 40 ms|Heap fetches: 5558
124000 [0, 0, 1, 4, 0] 5 [1, 4]|PNE route: [POIs: (892, 123990, restaurant, 0.2204152174861488), (892, 123990, restaurant, 0.0), (712, 124461, coffee_shop, 0.34367899319920214), (3007, 126515, pharmacy, 0.22826650649196722), (131, 126506, restaurant, 0.044821978584075134), Length: 0.8371826957613933, Heuristic: 0.0]|Found route 2: [POIs: (892, 123990, restaurant, 0.2204152174861488), (712, 124461, restaurant, 0.34367899319920214), (712, 124461, coffee_shop, 0.0), (3007, 126515, pharmacy, 0.22826650649196722), (712, 124461, restaurant, 0.22826650649196722), Length: 1.0206272236692855, Heuristic: 0.0]|Time: 20783 ms|Time for PNE: 2 ms|Heap fetches: 233
83859 [0, 0, 1, 5, 0] 5 [1, 4]|PNE route: [POIs: (657, 88056, restaurant, 3.267144587432412), (657, 88056, restaurant, 0.0), (656, 88051, coffee_shop, 0.008329860441073644), (3756, 88106, pub_bar, 0.08293554892487513), (657, 88056, restaurant, 0.07460568848380149), Length: 3.4330156852821627, Heuristic: 0.0]|Found route 2: [POIs: (657, 88056, restaurant, 3.267144587432412), (657, 88056, restaurant, 0.0), (656, 88051, coffee_shop, 0.008329860441073644), (3756, 88106, pub_bar, 0.08293554892487513), (657, 88056, restaurant, 0.07460568848380149), Length: 3.4330156852821627, Heuristic: 0.0]|Time: 1345 ms|Time for PNE: 2 ms|Heap fetches: 0
76774 [0, 0, 1, 6, 0] 5 [1, 4]|PNE route: [POIs: (483, 76731, restaurant, 0.6080834318061392), (483, 76731, restaurant, 0.0), (483, 76731, coffee_shop, 0.0), (4365, 78315, gas_station, 2.060428236271831), (263, 81325, restaurant, 0.3206384503913662), Length: 2.9891501184693365, Heuristic: 0.0]|Found route 2: [POIs: (263, 81325, restaurant, 2.555020412691329), (263, 81325, restaurant, 0.0), (263, 81325, coffee_shop, 0.0), (4365, 78315, gas_station, 0.3206384503913662), (263, 81325, restaurant, 0.3206384503913662), Length: 3.1962973134740613, Heuristic: 0.0]|Time: 9993 ms|Time for PNE: 6 ms|Heap fetches: 648
339301 [0, 0, 2, 0, 0] 5 [1, 4]|PNE route: [POIs: (381, 339217, restaurant, 0.16097643275791668), (381, 339217, restaurant, 0.0), (2573, 339209, atm_bank, 0.09215025793570983), (381, 339217, restaurant, 0.09215025793570983), (381, 339217, restaurant, 0.0), Length: 0.34527694862933633, Heuristic: 0.0]|Found route 2: [POIs: (381, 339217, restaurant, 0.16097643275791668), (381, 339217, restaurant, 0.0), (2573, 339209, atm_bank, 0.09215025793570983), (381, 339217, restaurant, 0.09215025793570983), (381, 339217, restaurant, 0.0), Length: 0.34527694862933633, Heuristic: 0.0]|Time: 284 ms|Time for PNE: 0 ms|Heap fetches: 0
62889 [0, 0, 2, 1, 0] 5 [1, 4]|PNE route: [POIs: (817, 61715, restaurant, 1.663911246487538), (817, 61715, restaurant, 0.0), (2461, 61688, atm_bank, 0.10362195203610347), (817, 61715, coffee_shop, 0.10362195203610347), (817, 61715, restaurant, 0.0), Length: 1.871155150559745, Heuristic: 0.0]|Found route 2: [POIs: (817, 61715, restaurant, 1.663911246487538), (817, 61715, restaurant, 0.0), (2461, 61688, atm_bank, 0.10362195203610347), (817, 61715, coffee_shop, 0.10362195203610347), (817, 61715, restaurant, 0.0), Length: 1.871155150559745, Heuristic: 0.0]|Time: 154 ms|Time for PNE: 0 ms|Heap fetches: 0
93084 [0, 0, 2, 2, 0] 5 [1, 4]|PNE route: [POIs: (1487, 92339, restaurant, 0.962679080530906), (1487, 92339, restaurant, 0.0), (2561, 92253, atm_bank, 0.2259692666710401), (2561, 92253, atm_bank, 0.0), (1487, 92339, restaurant, 0.22596926667104006), Length: 1.414617613872986, Heuristic: 0.0]|Found route 2: [POIs: (1487, 92339, restaurant, 0.962679080530906), (1487, 92339, restaurant, 0.0), (2561, 92253, atm_bank, 0.2259692666710401), (2561, 92253, atm_bank, 0.0), (1487, 92339, restaurant, 0.22596926667104006), Length: 1.414617613872986, Heuristic: 0.0]|Time: 191 ms|Time for PNE: 1 ms|Heap fetches: 0
21477 [0, 0, 2, 3, 0] 5 [1, 4]|PNE route: [POIs: (1163, 252674, restaurant, 5.415348673454662), (1163, 252674, restaurant, 0.0), (2568, 255185, atm_bank, 1.354374505060945), (2722, 255396, movie_theater, 0.20715993718277656), (531, 255394, restaurant, 0.057074574057927346), Length: 7.033957689756311, Heuristic: 0.0]|Found route 2: [POIs: (618, 252719, restaurant, 5.422589379794477), (531, 255394, restaurant, 1.4707129322206294), (2372, 255320, atm_bank, 0.1418091910567703), (2722, 255396, movie_theater, 0.08473461699884297), (531, 255394, restaurant, 0.057074574057927346), Length: 7.176920694128648, Heuristic: 0.0]|Time: 22485 ms|Time for PNE: 15 ms|Heap fetches: 814
43897 [0, 0, 2, 4, 0] 5 [1, 4]|PNE route: [POIs: (929, 63859, restaurant, 3.5561074829147863), (929, 63859, restaurant, 0.0), (2526, 11232, atm_bank, 1.0942715899245459), (2968, 11313, pharmacy, 0.16320152682886255), (530, 11365, restaurant, 0.10996368831634021), Length: 4.923544287984535, Heuristic: 0.0]|Found route 2: [POIs: (929, 63859, restaurant, 3.5561074829147863), (530, 11365, restaurant, 1.158989151969681), (2334, 11413, atm_bank, 0.049567945447987274), (2968, 11313, pharmacy, 0.15657789990154444), (530, 11365, restaurant, 0.10996368831634021), Length: 5.03120616855034, Heuristic: 0.0]|Time: 7251 ms|Time for PNE: 1 ms|Heap fetches: 36
304740 [0, 0, 2, 5, 0] 5 [1, 4]|PNE route: [POIs: (407, 304371, restaurant, 1.5502161336894005), (407, 304371, restaurant, 0.0), (2303, 304371, atm_bank, 0.0), (3672, 303660, pub_bar, 0.3228703651987284), (574, 303827, restaurant, 0.24638259529338474), Length: 2.1194690941815137, Heuristic: 0.0]|Found route 2: [POIs: (407, 304371, restaurant, 1.5502161336894005), (407, 304371, restaurant, 0.0), (2303, 304371, atm_bank, 0.0), (3672, 303660, pub_bar, 0.3228703651987284), (407, 304371, restaurant, 0.32287036519872836), Length: 2.195956864086857, Heuristic: 0.0]|Time: 11394 ms|Time for PNE: 3 ms|Heap fetches: 191
55049 [0, 0, 2, 6, 0] 5 [1, 4]|PNE route: [POIs: (1237, 55452, restaurant, 0.9074689717373832), (1237, 55452, restaurant, 0.0), (2522, 55460, atm_bank, 0.13948912936284652), (4439, 52586, gas_station, 0.630906649235145), (1237, 55452, restaurant, 0.5891546530110239), Length: 2.2670194033463984, Heuristic: 0.0]|Found route 2: [POIs: (1237, 55452, restaurant, 0.9074689717373832), (1237, 55452, restaurant, 0.0), (2522, 55460, atm_bank, 0.13948912936284652), (4439, 52586, gas_station, 0.630906649235145), (1237, 55452, restaurant, 0.5891546530110239), Length: 2.2670194033463984, Heuristic: 0.0]|Time: 5239 ms|Time for PNE: 8 ms|Heap fetches: 0
203945 [0, 0, 3, 0, 0] 5 [1, 4]|PNE route: [POIs: (1799, 203951, restaurant, 0.07857161557805334), (1799, 203951, restaurant, 0.0), (2681, 204019, movie_theater, 0.19387868557045965), (413, 204019, restaurant, 0.0), (413, 204019, restaurant, 0.0), Length: 0.272450301148513, Heuristic: 0.0]|Found route 2: [POIs: (1799, 203951, restaurant, 0.07857161557805334), (413, 204019, restaurant, 0.19387868557045965), (2681, 204019, movie_theater, 0.0), (413, 204019, restaurant, 0.0), (413, 204019, restaurant, 0.0), Length: 0.272450301148513, Heuristic: 0.0]|Time: 2891 ms|Time for PNE: 1 ms|Heap fetches: 11
227363 [0, 0, 3, 1, 0] 5 [1, 4]|PNE route: [POIs: (606, 233774, restaurant, 1.9550637461044913), (606, 233774, restaurant, 0.0), (2753, 233915, movie_theater, 0.012755992089490367), (586, 233722, coffee_shop, 0.38055155994049883), (586, 233722, restaurant, 0.0), Length: 2.3483712981344804, Heuristic: 0.0]|Found route 2: [POIs: (944, 225787, restaurant, 1.5162254872238097), (135, 166499, restaurant, 0.9328170024621018), (2777, 166597, movie_theater, 0.12541986028442803), (135, 166499, coffee_shop, 0.12541986028442803), (135, 166499, restaurant, 0.0), Length: 2.6998822102547675, Heuristic: 0.0]|Time: 107169 ms|Time for PNE: 16 ms|Heap fetches: 1688
349667 [0, 0, 3, 2, 0] 5 [1, 4]|PNE route: [POIs: (1592, 396139, restaurant, 2.5602334168054974), (1592, 396139, restaurant, 0.0), (2697, 335053, movie_theater, 1.349189216050606), (2349, 335178, atm_bank, 0.07728252023476088), (511, 335049, restaurant, 0.12318057487845271), Length: 4.109885727969317, Heuristic: 0.0]|Found route 2: [POIs: (511, 335049, restaurant, 3.955320687499795), (511, 335049, restaurant, 0.0), (2697, 335053, movie_theater, 0.09578903278671153), (2349, 335178, atm_bank, 0.07728252023476088), (511, 335049, restaurant, 0.12318057487845271), Length: 4.25157281539972, Heuristic: 0.0]|Time: 114320 ms|Time for PNE: 13 ms|Heap fetches: 1098
136408 [0, 0, 3, 3, 0] 5 [1, 4]|PNE route: [POIs: (110, 136850, restaurant, 1.3775615107001227), (110, 136850, restaurant, 0.0), (2783, 138754, movie_theater, 0.5188682427668266), (2783, 138754, movie_theater, 0.0), (485, 139005, restaurant, 0.27536156435441855), Length: 2.1717913178213677, Heuristic: 0.0]|Found route 2: [POIs: (1045, 127199, restaurant, 2.2551759816447388), (1045, 127199, restaurant, 0.0), (2762, 127199, movie_theater, 0.0), (2762, 127199, movie_theater, 0.0), (1045, 127199, restaurant, 0.0), Length: 2.2551759816447388, Heuristic: 0.0]|Time: 12094 ms|Time for PNE: 2 ms|Heap fetches: 67
